stnId,SPI1,tm,stnNm,avgTa,minTa,maxTa,sumRn,avgWs,avgTd,avgRhm,avgPa,avgTs
243,-1.119,1991-01-02,부안,-1.4,-3.4,0.7,0.0,1.7,-8.0,61.3,1022.1,-0.9
243,-1.049,1991-01-03,부안,-1.2,-7.4,4.5,0.6,2.3,-6.3,70.3,1021.2,-1.5
243,-0.818,1991-01-04,부안,-3.8,-6.8,-1.0,1.6,0.9,-7.1,78.8,1022.3,-3.4
243,-0.693,1991-01-05,부안,-5.0,-7.3,-2.0,3.4,0.6,-7.1,84.8,1020.8,-4.3
243,-0.485,1991-01-06,부안,-3.9,-9.9,2.3,0.1,0.4,-6.5,83.5,1024.0,-3.4
243,-0.458,1991-01-07,부안,0.4,-2.8,4.0,1.9,2.2,-2.5,80.8,1019.0,0.0
243,-0.356,1991-01-08,부안,-2.8,-5.8,-0.2,0.2,1.8,-7.3,76.0,1020.6,-2.4
243,-0.522,1991-01-09,부안,-2.3,-7.7,4.0,0.0,0.4,-5.9,77.0,1022.0,-2.4
243,-0.49,1991-01-10,부안,2.2,-0.2,6.5,0.0,0.9,-1.8,74.8,1020.5,2.6
243,-0.496,1991-01-11,부안,-0.2,-2.9,2.6,0.0,1.0,-3.4,79.8,1018.0,0.8
243,-0.486,1991-01-12,부안,-0.5,-3.0,3.0,1.1,0.9,-3.2,83.0,1019.9,1.0
243,-0.42,1991-01-13,부안,-3.0,-7.7,0.6,0.0,0.9,-7.6,71.8,1026.0,0.0
243,-0.569,1991-01-14,부안,-3.5,-6.6,-0.7,0.0,0.8,-9.3,66.0,1028.2,-2.4
243,-0.606,1991-01-15,부안,-0.8,-7.0,7.2,0.0,1.5,-4.9,77.0,1026.5,-0.5
243,-0.542,1991-01-16,부안,2.6,-3.0,10.7,0.0,1.0,-1.2,78.0,1024.2,0.8
243,-0.498,1991-01-17,부안,1.0,-4.6,6.6,0.0,2.8,-5.1,64.3,1026.1,0.9
243,-0.565,1991-01-18,부안,-2.7,-8.0,3.7,0.0,0.8,-6.6,76.3,1030.8,-1.8
243,-0.527,1991-01-19,부안,-0.2,-8.1,10.0,0.0,0.6,-5.4,72.5,1028.9,-0.3
243,-0.494,1991-01-20,부안,3.6,-3.6,12.0,0.0,0.7,-3.3,63.5,1023.1,2.7
243,-0.402,1991-01-21,부안,4.6,2.0,7.2,5.5,0.6,1.5,81.5,1016.3,5.1
243,-0.096,1991-01-22,부안,5.1,3.5,7.9,0.0,1.0,3.8,88.5,1020.5,5.5
243,-0.201,1991-01-23,부안,3.5,1.6,9.8,0.0,0.9,1.3,85.8,1026.8,5.4
243,-0.22,1991-01-24,부안,3.3,1.6,5.1,4.1,1.0,2.2,90.0,1019.4,3.5
243,-0.303,1991-01-25,부안,2.1,-1.5,4.4,0.0,1.9,-2.9,71.3,1022.5,3.3
243,-0.392,1991-01-26,부안,-0.5,-4.4,4.1,0.0,1.0,-5.8,68.5,1027.3,0.7
243,-0.389,1991-01-27,부안,-0.1,-3.4,3.6,0.0,1.3,-4.6,73.3,1029.1,1.3
243,-0.345,1991-01-28,부안,-2.1,-7.1,3.8,0.0,0.5,-6.3,76.8,1030.6,-1.3
243,-0.331,1991-01-29,부안,-0.6,-5.7,6.4,0.0,0.8,-4.5,77.8,1030.3,0.1
243,-0.312,1991-01-30,부안,-0.3,-5.4,5.4,0.0,0.9,-4.0,78.5,1028.8,0.8
243,-0.31,1991-01-31,부안,0.5,-2.4,5.4,0.0,1.3,-3.3,77.0,1024.4,1.6
243,-0.481,1991-02-01,부안,-1.3,-5.4,3.1,0.0,1.6,-4.8,78.5,1021.4,-0.6
243,-0.561,1991-02-02,부안,-2.6,-7.7,3.4,0.0,1.1,-7.0,73.8,1024.2,0.6
243,-0.593,1991-02-03,부안,-1.5,-6.1,4.4,0.0,0.6,-4.7,81.0,1022.7,-0.7
243,-0.705,1991-02-04,부안,1.8,-1.6,4.4,0.2,3.7,-2.8,69.8,1020.4,3.1
243,-0.941,1991-02-05,부안,0.0,-4.0,4.8,0.0,1.4,-5.1,68.8,1023.3,2.8
243,-0.896,1991-02-06,부안,0.1,-5.3,7.4,0.0,0.7,-3.3,80.3,1020.9,2.1
