stnId,SPI1,tm,stnNm,avgTa,minTa,maxTa,sumRn,avgWs,avgTd,avgRhm,avgPa,avgTs
247,-0.256,1991-01-02,남원,-1.4,-4.0,2.0,0.0,2.1,-11.9,47.0,1008.9,0.4
247,-0.178,1991-01-03,남원,-2.7,-8.4,4.9,0.6,1.4,-7.1,73.5,1009.1,-0.1
247,0.015,1991-01-04,남원,-3.0,-5.8,1.6,0.5,1.2,-7.0,75.3,1009.4,0.9
247,0.045,1991-01-05,남원,-4.8,-7.9,0.0,0.0,1.4,-9.4,71.3,1008.3,-1.3
247,0.037,1991-01-06,남원,-3.7,-9.4,5.1,0.0,0.9,-8.3,73.0,1011.3,0.4
247,0.03,1991-01-07,남원,-2.0,-5.2,1.1,1.8,0.9,-4.0,86.8,1007.6,-0.6
247,0.115,1991-01-08,남원,-2.8,-9.1,0.8,0.3,1.1,-7.4,72.5,1008.3,0.2
247,-0.066,1991-01-09,남원,-3.6,-11.4,5.9,0.0,0.8,-7.9,74.0,1010.1,-0.3
247,-0.009,1991-01-10,남원,1.4,-2.3,7.5,0.0,0.6,-2.4,78.8,1008.2,2.5
247,-0.025,1991-01-11,남원,-0.1,-4.9,6.1,0.0,0.8,-4.1,75.3,1005.4,2.3
247,-0.043,1991-01-12,남원,-2.0,-5.2,3.5,1.6,0.5,-3.5,89.3,1007.8,0.4
247,0.109,1991-01-13,남원,-4.5,-8.8,2.8,0.0,1.2,-8.2,78.0,1013.4,-1.9
247,0.131,1991-01-14,남원,-5.8,-9.6,0.3,0.0,0.6,-9.5,76.8,1016.0,-3.3
247,0.1,1991-01-15,남원,-3.4,-9.6,6.1,0.0,0.8,-6.7,79.8,1015.3,-1.4
247,0.092,1991-01-16,남원,-0.5,-6.9,8.1,0.0,0.5,-4.4,78.5,1013.3,0.1
247,0.187,1991-01-17,남원,-0.1,-5.5,6.1,0.0,1.8,-6.4,65.3,1012.8,1.9
247,0.141,1991-01-18,남원,-3.2,-9.4,8.1,0.0,0.9,-10.1,63.0,1017.9,-0.5
247,0.175,1991-01-19,남원,-2.0,-9.9,10.2,0.0,0.5,-9.1,65.3,1017.4,-0.5
247,0.195,1991-01-20,남원,1.4,-5.4,10.2,0.0,0.5,-3.3,74.0,1011.5,2.6
247,0.237,1991-01-21,남원,5.9,3.2,11.6,11.0,1.3,3.9,87.8,1004.1,6.3
247,0.489,1991-01-22,남원,5.4,3.8,6.9,2.2,0.4,4.2,92.3,1008.7,5.1
247,0.528,1991-01-23,남원,4.0,-0.4,11.1,0.0,0.6,0.7,81.0,1014.2,5.5
247,0.47,1991-01-24,남원,3.8,2.0,6.3,2.5,0.8,1.7,86.3,1007.4,4.0
247,0.359,1991-01-25,남원,1.8,-3.4,6.8,0.0,1.6,-3.7,71.3,1010.1,3.8
247,0.073,1991-01-26,남원,-1.5,-6.2,6.4,0.0,0.9,-6.7,71.0,1014.7,1.1
247,0.085,1991-01-27,남원,-2.0,-6.6,6.8,0.0,1.0,-8.0,67.3,1016.4,0.9
247,0.096,1991-01-28,남원,-2.8,-9.4,6.5,0.0,0.6,-8.9,68.0,1018.0,-0.8
247,0.052,1991-01-29,남원,-0.6,-5.9,9.8,0.0,0.6,-7.1,68.0,1017.5,2.2
247,0.022,1991-01-30,남원,-0.5,-5.6,9.4,0.0,0.6,-5.8,71.5,1016.1,2.1
247,0.0,1991-01-31,남원,-0.9,-6.2,8.5,0.0,1.0,-5.9,72.0,1012.1,2.0
247,-0.141,1991-02-01,남원,-2.3,-7.1,5.3,0.0,1.5,-7.1,71.5,1009.3,0.7
247,-0.201,1991-02-02,남원,-2.7,-8.9,7.6,0.0,1.0,-9.1,67.8,1011.8,0.2
247,-0.261,1991-02-03,남원,-2.1,-8.7,7.5,0.0,0.7,-6.4,74.3,1010.5,0.0
247,-0.282,1991-02-04,남원,-1.0,-4.2,4.3,1.5,1.7,-5.3,74.5,1008.1,-0.1
247,-0.131,1991-02-05,남원,-0.5,-4.4,7.3,0.0,0.9,-6.3,68.3,1010.9,2.4
247,-0.118,1991-02-06,남원,-0.9,-6.0,9.2,0.0,0.6,-7.4,67.0,1008.8,1.9
247,-0.244,1991-02-07,남원,1.5,-5.4,10.4,0.8,1.0,-2.5,77.3,1006.3,3.4
247,-0.199,1991-02-08,남원,2.7,-4.0,10.8,0.2,1.3,-4.6,63.0,1010.7,4.2
247,-0.271,1991-02-09,남원,1.2,-5.3,7.5,5.7,0.7,-1.3,83.5,1007.6,2.2
247,-0.041,1991-02-10,남원,5.0,3.2,6.3,14.0,1.1,4.2,95.0,999.4,5.3
247,0.593,1991-02-11,남원,3.7,-2.2,8.0,1.4,1.0,1.0,83.3,1006.1,5.1
247,0.55,1991-02-12,남원,1.1,-4.7,10.8,0.0,1.0,-4.1,73.0,1012.2,3.6
247,0.512,1991-02-13,남원,2.3,-1.4,10.6,0.0,0.5,-2.6,72.5,1011.6,2.7
247,0.453,1991-02-14,남원,4.3,-1.9,12.1,1.1,1.9,0.8,79.0,1004.6,3.9
247,0.459,1991-02-15,남원,4.7,2.8,6.8,11.2,1.3,3.7,93.0,995.8,5.4
247,0.916,1991-02-16,남원,3.1,-1.4,9.1,0.0,0.8,-0.9,76.8,1003.0,4.0
247,0.842,1991-02-17,남원,1.1,-3.1,7.6,0.0,1.1,-7.0,57.0,1010.3,2.6
247,0.869,1991-02-18,남원,0.4,-2.4,4.4,0.0,1.1,-2.4,80.8,1007.6,1.8
247,0.886,1991-02-19,남원,-1.1,-4.5,2.3,0.0,3.0,-8.5,57.8,1008.1,2.0
247,0.875,1991-02-20,남원,-3.1,-8.4,1.5,1.9,1.5,-5.8,82.3,1007.3,0.6
