stnId,SPI1,tm,stnNm,avgTa,minTa,maxTa,sumRn,avgWs,avgTd,avgRhm,avgPa,avgTs
146,-0.547,1991-01-02,전주,-1.7,-4.5,1.0,0.0,2.3,-11.1,52.3,1016.7,1.9
146,-0.44,1991-01-03,전주,-1.7,-7.1,4.5,1.7,1.3,-7.4,66.5,1016.2,0.7
146,-0.085,1991-01-04,전주,-3.8,-6.5,-0.1,0.2,1.2,-9.4,66.3,1017.1,1.3
146,-0.11,1991-01-05,전주,-4.7,-6.7,-1.2,0.0,1.3,-10.9,62.8,1015.8,0.2
146,-0.173,1991-01-06,전주,-3.0,-7.9,2.9,0.0,0.5,-8.3,68.0,1018.5,1.5
146,-0.122,1991-01-07,전주,0.7,-2.0,3.2,4.0,1.6,-4.8,66.3,1013.9,0.5
146,0.076,1991-01-08,전주,-3.1,-5.7,-0.1,0.0,1.3,-9.9,60.0,1015.5,1.1
146,-0.001,1991-01-09,전주,-2.9,-9.0,3.3,0.0,0.5,-7.9,69.5,1017.2,0.4
146,0.107,1991-01-10,전주,2.0,-0.1,5.8,0.0,0.9,-3.2,68.8,1015.3,2.1
146,0.001,1991-01-11,전주,0.0,-2.5,2.9,0.0,0.6,-5.5,68.3,1012.8,1.7
146,-0.008,1991-01-12,전주,-1.7,-3.7,3.8,2.5,0.6,-5.2,77.8,1014.9,0.3
146,0.149,1991-01-13,전주,-4.1,-7.8,0.6,0.0,0.6,-9.9,66.3,1020.8,0.4
146,0.113,1991-01-14,전주,-4.9,-8.7,-0.4,0.0,0.2,-11.3,63.0,1023.3,-2.1
146,0.089,1991-01-15,전주,-0.5,-7.4,7.0,0.0,1.1,-7.0,63.5,1021.6,-0.5
146,0.162,1991-01-16,전주,3.0,-3.0,9.0,0.0,1.4,-3.1,65.8,1019.4,0.6
146,0.155,1991-01-17,전주,1.7,-4.2,6.1,0.1,2.0,-7.9,55.5,1020.4,3.2
146,0.1,1991-01-18,전주,-3.1,-8.2,4.6,0.0,0.5,-10.5,60.8,1025.6,1.5
146,0.11,1991-01-19,전주,0.1,-6.1,10.1,0.0,0.4,-9.0,53.5,1023.8,1.5
146,0.114,1991-01-20,전주,4.1,-2.3,13.1,0.0,0.5,-4.0,58.3,1018.0,4.9
146,0.165,1991-01-21,전주,5.1,3.8,6.3,9.0,0.3,2.4,84.0,1011.5,5.0
146,0.402,1991-01-22,전주,5.0,3.5,6.2,2.4,0.6,4.3,96.0,1015.6,4.5
146,0.426,1991-01-23,전주,4.3,2.2,9.0,0.0,0.7,1.5,83.3,1021.5,6.5
