stnId,SPI1,tm,stnNm,avgTa,minTa,maxTa,sumRn,avgWs,avgTd,avgRhm,avgPa,avgTs
165,-1.106,1991-01-02,목포,1.0,-0.9,5.0,0.0,9.2,-7.4,54.3,1015.5,1.6
165,-1.057,1991-01-03,목포,1.9,-3.5,8.0,0.4,3.4,-5.5,59.5,1016.8,2.7
165,-0.814,1991-01-04,목포,0.2,-2.3,5.1,0.3,5.2,-5.8,64.0,1016.7,1.3
165,-0.822,1991-01-05,목포,-1.1,-3.6,3.0,0.5,6.2,-5.2,74.3,1015.4,0.9
165,-0.749,1991-01-06,목포,0.8,-3.2,7.6,0.0,2.7,-4.8,67.3,1018.5,1.6
165,-0.707,1991-01-07,목포,2.3,-0.6,5.9,5.5,5.2,-0.9,79.3,1014.3,1.4
165,-0.35,1991-01-08,목포,0.8,-1.0,3.8,0.3,8.5,-5.6,62.5,1015.0,1.7
165,-0.293,1991-01-09,목포,1.4,-3.5,9.1,0.0,3.7,-5.3,62.5,1016.9,1.3
165,-0.307,1991-01-10,목포,4.3,1.7,8.6,0.0,4.1,-2.1,63.8,1015.6,3.1
165,-0.282,1991-01-11,목포,2.4,0.0,6.2,0.0,4.6,-3.3,66.5,1012.9,2.6
165,-0.277,1991-01-12,목포,2.4,-0.6,7.0,0.4,5.4,-3.1,67.3,1015.2,1.8
165,-0.311,1991-01-13,목포,-0.1,-3.7,5.7,0.6,3.6,-4.9,71.5,1020.9,2.2
165,-0.337,1991-01-14,목포,-1.3,-4.2,1.6,0.0,1.8,-7.1,65.3,1023.0,-0.8
165,-0.387,1991-01-15,목포,1.5,-3.0,8.3,0.0,2.1,-4.8,63.5,1022.1,0.7
165,-0.431,1991-01-16,목포,3.8,-1.7,10.8,0.0,2.5,-0.9,73.8,1019.7,2.4
165,-0.376,1991-01-17,목포,4.0,-1.3,7.2,0.0,7.4,-3.2,60.0,1020.5,2.5
165,-0.458,1991-01-18,목포,1.2,-3.2,8.5,0.0,5.1,-6.9,58.0,1025.0,1.5
165,-0.431,1991-01-19,목포,3.9,-2.9,12.1,0.0,2.1,-6.5,48.3,1023.5,2.4
165,-0.402,1991-01-20,목포,5.8,1.7,10.8,6.0,2.3,1.6,75.3,1017.4,3.3
165,0.061,1991-01-21,목포,6.5,4.2,11.0,12.3,5.4,4.5,88.0,1010.7,6.8
165,0.689,1991-01-22,목포,6.2,4.8,11.6,0.0,4.0,3.3,82.0,1016.3,6.4
165,0.655,1991-01-23,목포,5.8,1.0,11.4,0.0,2.7,2.0,78.3,1021.5,6.4
165,0.561,1991-01-24,목포,5.8,3.5,10.4,5.4,4.8,3.9,88.0,1014.2,5.9
165,0.572,1991-01-25,목포,4.4,1.2,8.0,0.0,6.8,-3.9,55.3,1017.6,3.8
165,0.46,1991-01-26,목포,2.6,-1.2,10.0,0.0,3.6,-4.5,59.3,1021.9,1.8
165,0.492,1991-01-27,목포,2.6,-1.1,8.2,0.0,5.2,-5.3,57.5,1023.7,2.8
165,0.488,1991-01-28,목포,0.6,-3.5,7.1,0.0,2.9,-7.8,55.8,1025.2,1.3
165,0.455,1991-01-29,목포,2.9,-0.9,11.2,0.0,4.1,-5.4,56.0,1024.6,2.8
165,0.461,1991-01-30,목포,3.1,-0.9,9.2,0.0,4.6,-3.4,65.8,1023.6,2.6
165,0.421,1991-01-31,목포,3.5,0.6,9.6,0.0,5.7,-3.6,60.5,1019.3,3.1
165,0.355,1991-02-01,목포,2.5,0.6,7.4,0.0,7.4,-4.4,60.3,1016.7,2.0
165,0.315,1991-02-02,목포,2.4,-2.5,8.8,0.0,5.0,-5.4,56.8,1018.9,2.2
165,0.299,1991-02-03,목포,1.3,-3.4,7.6,0.0,2.4,-3.8,69.5,1017.8,1.8
165,0.258,1991-02-04,목포,2.9,0.1,7.4,1.5,6.4,-2.2,69.8,1015.9,2.6
165,0.342,1991-02-05,목포,2.2,-0.8,8.0,0.0,4.8,-5.4,57.3,1018.1,2.0
165,0.322,1991-02-06,목포,2.4,-1.6,9.6,0.0,2.3,-2.6,71.3,1015.7,2.5
165,0.05,1991-02-07,목포,5.2,-0.2,12.3,0.0,2.1,1.2,77.5,1013.9,4.5
165,0.064,1991-02-08,목포,4.7,0.4,11.2,0.0,5.2,-2.2,64.5,1017.8,4.3
165,0.033,1991-02-09,목포,4.9,-0.1,9.4,5.6,2.7,3.0,86.8,1012.8,4.7
165,0.237,1991-02-10,목포,6.1,3.0,9.1,4.2,6.2,4.0,86.5,1006.9,6.8
165,0.411,1991-02-11,목포,4.8,2.4,8.9,0.2,4.4,0.9,76.5,1014.0,4.9
165,0.38,1991-02-12,목포,4.7,1.0,11.7,0.0,4.5,-2.7,60.8,1019.3,5.0
165,0.354,1991-02-13,목포,4.8,1.9,8.7,4.7,3.3,0.9,76.3,1017.8,4.6
165,0.524,1991-02-14,목포,7.4,3.3,12.8,2.5,2.7,3.1,75.0,1010.6,6.3
165,0.536,1991-02-15,목포,5.4,3.9,7.4,9.2,7.9,3.3,86.8,1003.8,5.9
165,0.783,1991-02-16,목포,5.1,1.2,10.2,0.0,5.4,-0.2,69.8,1010.6,5.9
165,0.74,1991-02-17,목포,4.0,1.0,9.4,0.2,3.1,-3.9,60.8,1017.6,5.6
165,0.726,1991-02-18,목포,4.0,1.2,7.0,0.0,3.7,-1.0,69.8,1015.4,4.3
