stnId,SPI1,tm,stnNm,avgTa,minTa,maxTa,sumRn,avgWs,avgTd,avgRhm,avgPa,avgTs
260,-0.543,1991-01-02,장흥,0.2,-1.7,3.0,0.0,3.2,-8.4,53.0,1017.1,0.0
260,-0.491,1991-01-03,장흥,-0.1,-7.0,5.1,0.8,1.7,-5.5,70.3,1018.2,1.8
260,-0.27,1991-01-04,장흥,-0.3,-2.9,2.7,0.0,2.1,-6.8,62.0,1018.1,1.3
260,-0.264,1991-01-05,장흥,-2.3,-4.0,0.2,0.0,2.3,-7.1,70.0,1016.8,-0.4
260,-0.236,1991-01-06,장흥,-0.9,-6.7,5.2,0.0,1.3,-5.7,72.8,1020.2,1.0
260,-0.221,1991-01-07,장흥,0.5,-5.1,4.4,3.8,1.5,-2.6,80.8,1016.4,0.7
260,-0.042,1991-01-08,장흥,-0.1,-2.0,1.1,0.0,2.8,-6.7,61.3,1016.1,0.7
260,-0.017,1991-01-09,장흥,0.8,-4.1,6.1,0.0,1.6,-5.4,64.3,1018.4,1.1
260,0.049,1991-01-10,장흥,3.3,0.6,6.8,0.0,1.5,-2.8,64.3,1017.1,2.0
260,-0.007,1991-01-11,장흥,2.3,-1.2,6.1,0.0,1.7,-3.3,66.0,1014.1,3.1
260,0.016,1991-01-12,장흥,1.0,-1.8,5.0,0.1,1.9,-3.1,73.8,1016.8,1.5
260,0.049,1991-01-13,장흥,-0.7,-4.6,3.5,0.0,1.4,-6.4,68.3,1022.7,1.9
260,0.049,1991-01-14,장흥,-2.6,-7.4,2.3,0.0,0.7,-6.8,75.0,1025.1,-0.7
260,-0.029,1991-01-15,장흥,-1.4,-7.5,7.6,0.0,0.5,-4.9,80.5,1024.2,0.4
260,-0.047,1991-01-16,장흥,0.3,-6.7,8.9,0.0,0.4,-4.3,76.0,1022.0,1.1
260,0.012,1991-01-17,장흥,1.3,-4.8,6.0,0.0,2.3,-7.3,56.8,1021.9,1.8
260,-0.06,1991-01-18,장흥,-1.5,-7.9,8.1,0.0,0.8,-10.9,58.0,1026.7,0.3
260,-0.038,1991-01-19,장흥,0.0,-7.3,9.9,0.0,0.5,-5.7,71.3,1025.9,1.0
260,-0.014,1991-01-20,장흥,4.7,-1.5,10.0,3.7,0.2,2.4,86.3,1019.4,5.2
